Sample,Vp0(cc),Vp (cc),PHI0(%),Phi(%),K[n2](mD),Pc(psi),Kabs(mD),b[n2](psi),α(μm),β(ft⁻¹),BulkDensity (g/cm³),Gas,Vb(cc),GrainDensity (g/cc),Date,Time,Length(mm),Diameter(mm),Weight(g),Vb-Vp
PFJ01A,2.298616529,2.224828348,12.88406635,12.52226452,0.4695405,1000,0.291412,9.168899,402.2825795,4.26E+11,2.516409503,N2,17.76698092,2.876628538,7/26/2019 18:38,18:38:44,NaN,NaN,44.70899963,15.54215257
PFJ01B,2.023489682,1.984149358,17.86481137,17.57854148,14.05176,1000,12.11913,2.392051,1069.796895,2.73E+10,2.016684615,N2,11.2873378,2.446795593,7/29/2019 13:23,13:23:21,NaN,NaN,22.76300049,9.303188442
PFJ01C1,2.608144615,2.527142848,13.21907083,12.8613249,11.19942,1000,9.441005,2.79379,4505.590793,1.47E+11,2.132558894,N2,19.6491642,2.447316179,7/26/2019 10:06,10:06:56,NaN,NaN,41.90299988,17.12202135
PFJ01C2,3.969459836,3.915401451,22.19774116,21.96183053,276.0228,1000,259.9997,0.9244114,24.81065276,2.95E+07,1.955103589,N2,17.82821084,2.50531708,7/26/2019 17:32,17:32:51,NaN,NaN,34.85599899,13.91280939
PFJ01D1,1.590143642,1.524172543,10.17725076,9.796385139,0.186741,1000,0.09624668,14.1035,2655.03517,8.52E+12,2.451132983,N2,15.55852002,2.717333432,7/29/2019 12:06,12:06:14,NaN,NaN,38.13600159,14.03434748
PFJ01D2,1.910494951,1.844321127,12.103265,11.7332323,2.06465,1000,1.540509,5.103585,500.1997439,1.00E+11,2.321350448,N2,15.71878132,2.629925745,7/29/2019 13:06,13:06:54,NaN,NaN,36.48880005,13.87446019
PFJ01E,1.712825414,1.636587401,9.392728198,9.012334999,0.168858,1000,0.08762284,13.9065,1331.269414,4.69E+12,2.414229602,N2,18.15941597,2.653359224,7/26/2019 11:42,11:42:00,NaN,NaN,43.8409996,16.52282857
PFJ01F,2.080281692,1.998578924,10.77451027,10.39533256,0.08381093,1000,0.03536301,20.55026,989.0945218,8.64E+12,2.357881481,N2,19.2257334,2.631427076,7/26/2019 10:35,10:35:41,NaN,NaN,45.33200073,17.22715448
PFJ01G1,1.738383011,1.660290923,9.288273993,8.908193221,0.1982769,1000,0.1072311,12.73592,908.39867,2.62E+12,2.416541113,N2,18.63779649,2.652863301,7/26/2019 18:22,18:22:16,NaN,NaN,45.03900146,16.97750557
PFJ01G2,2.398369904,2.328681016,13.88686715,13.53798641,0.1827201,1000,0.09211486,14.75418,691.2691669,2.32E+12,2.329212989,N2,17.20108844,2.69391481,7/29/2019 11:33,11:33:28,NaN,NaN,40.06499863,14.87240742
PFJ01H,2.621830198,2.546979839,14.06240228,13.7160013,0.2515752,1000,0.1420151,11.57201,403.1776144,8.77E+11,2.325814912,N2,18.56940505,2.695534452,7/26/2019 16:47,16:47:34,NaN,NaN,43.18899918,16.02242521
PFJ01I,2.409882133,2.331974346,12.81222492,12.44959153,0.1442669,1000,0.07808413,12.71373,884.9580522,3.50E+12,2.318308104,N2,18.7313322,2.647969489,7/26/2019 17:15,17:15:42,NaN,NaN,43.42499924,16.39935785
PFJ01K,1.159729897,1.09620594,6.936530389,6.581589974,0.04819361,1000,0.01589307,30.48549,172.7393144,3.36E+12,2.515424181,N2,16.65564012,2.692642896,7/29/2019 12:23,12:23:44,NaN,NaN,41.89599991,15.55943418
PFJ01L,2.045663515,1.973286779,11.8822592,11.51024733,0.1305405,1000,0.05122653,23.22448,235.9940301,1.42E+12,2.366928168,N2,17.14373916,2.674804818,7/29/2019 11:50,11:50:05,NaN,NaN,40.57799911,15.17045238
PFJ01M,1.446475853,1.372948808,7.847498117,7.478426924,0.03421463,1000,0.01008354,35.89675,189.1952193,5.79E+12,2.38795675,N2,18.35879153,2.580972924,7/26/2019 11:24,11:24:10,NaN,NaN,43.84000015,16.98584272
PFJ01N,1.820721391,1.75562617,11.77296536,11.40003735,0.3302144,1000,0.1965472,10.20116,1944.771572,3.06E+12,2.381855398,N2,15.40017911,2.688325511,7/29/2019 12:50,12:50:27,NaN,NaN,36.68099976,13.64455294
PFJ02A,2.691747248,2.624305491,15.35033601,15.02351403,0.1536079,1000,0.08365369,12.54353,722.1461945,2.67E+12,2.226919402,N2,17.46798709,2.620630138,7/23/19 14:36,14:36:36,NaN,NaN,38.89979935,14.84368159
PFJ02B,2.142855925,2.073051899,12.73467651,12.37116139,0.1444913,1000,0.07935811,12.31125,1482.498396,5.77E+12,2.35092127,N2,16.75713244,2.682816876,7/23/19 14:52,14:52:18,NaN,NaN,39.3946991,14.68408055
PFJ02D,3.032173215,2.952740858,14.91250328,14.57880063,5.004592,1000,3.982927,3.847664,139.5867483,1.08E+10,2.230564693,N2,20.253661,2.611254243,7/23/19 15:07,15:07:11,NaN,NaN,45.17710114,17.30092014
PFJ02E,1.573083545,1.501314337,9.111912563,8.732499692,0.07322901,1000,0.02993321,21.6962,1010.926161,1.04E+13,2.443697985,N2,17.19226327,2.677511685,7/23/19 15:21,15:21:57,NaN,NaN,42.01269913,15.69094894
PFJ02F,1.915673399,1.832822291,9.715946431,9.334966772,0.03324122,1000,0.009747364,36.15417,190.482607,6.04E+12,2.44806127,N2,19.63394553,2.700116222,7/23/19 15:37,15:37:48,NaN,NaN,48.06510162,17.80112324
PFJ02G,1.832143281,1.756168217,10.18246391,9.801605697,0.07129778,1000,0.02888315,22.02736,224.1509157,2.40E+12,2.435867493,N2,17.91714818,2.700566359,7/23/19 15:52,15:52:20,NaN,NaN,43.64379883,16.16097997
PFJ02H,2.540186588,2.46733819,14.01740664,13.6703647,0.3145574,1000,0.175061,11.95267,469.3497026,8.28E+11,2.340226289,N2,18.04881029,2.710802937,7/23/19 16:06,16:06:16,NaN,NaN,42.23830032,15.5814721
PFJ02I,1.928510144,1.857397561,11.447959,11.07256411,0.09520068,1000,0.04150418,19.40642,650.1745001,4.84E+12,2.517965448,N2,16.7747736,2.831483245,7/23/19 16:20,16:20:24,NaN,NaN,42.23830032,14.91737604
PFJ02J,2.430153763,2.360336392,13.99964406,13.65235008,0.6452113,1000,0.4194768,8.072001,140.5214131,1.03E+11,2.29725315,N2,17.28886513,2.660469801,7/23/19 16:32,16:32:25,NaN,NaN,39.71689987,14.92852873
PFJ02K,1.824952289,1.745826999,9.687945253,9.306994116,0.03425579,1000,0.01015726,35.58813,188.9197807,5.74E+12,2.392790149,N2,18.75822609,2.638340328,7/23/19 16:46,16:46:29,NaN,NaN,44.8844986,17.01239909
PFJ03A,2.153292841,2.084384384,12.91569347,12.55426213,0.1818662,1000,0.09549271,13.56755,673.472563,2.18E+12,2.34686476,N2,16.60300194,2.683795479,7/30/2019 16:46,16:46:17,NaN,NaN,38.96500015,14.51861756
PFJ03B,2.249133381,2.174347683,12.52458315,12.15876517,0.3489855,1000,0.2101861,9.905464,507.9265786,7.46E+11,2.356337585,N2,17.8829647,2.682495971,7/30/2019 14:47,14:47:21,NaN,NaN,42.13830185,15.70861702
PFJ03C,2.021388861,1.949789682,11.87040026,11.49828694,0.4912919,1000,0.3075094,8.964728,267.011356,2.68E+11,2.390427355,N2,16.95721887,2.700995576,7/30/2019 15:26,15:26:44,NaN,NaN,40.53499985,15.00742919
PFJ03D,2.005939021,1.934152072,11.7627869,11.38977573,0.286619,1000,0.1651489,11.03278,523.0884092,9.78E+11,2.375411916,N2,16.98147634,2.680742471,7/30/2019 14:10,14:10:38,NaN,NaN,40.33800125,15.04732427
PFJ03E,1.629872623,1.553965701,8.8756555,8.497420694,0.0161623,1000,0.003639546,51.61119,231.965457,1.97E+13,2.442050773,N2,18.28749873,2.668832716,7/29/2019 15:01,15:01:43,NaN,NaN,44.6590004,16.73353303
PFJ03F1,2.508530097,2.424416381,12.43839531,12.07167017,7.627794,1000,6.210619,3.422787,224.6061764,1.12E+10,2.355762265,N2,20.08352073,2.679184592,8/21/19 14:07,14:07:48,NaN,NaN,47.31200027,17.65910435
PFJ03F2,3.102591978,3.029160691,15.90931036,15.59148093,19.26813,1000,16.93657,2.064965,293.9528786,5.36E+09,2.229530509,N2,19.42830642,2.641357215,8/21/19 11:58,11:58:44,NaN,NaN,43.31600189,16.39914573
PFJ03G,3.021335475,2.96050173,17.51037555,17.21851576,4.470365,1000,3.529362,3.999319,111.6842515,9.77E+09,2.208016761,N2,17.19371038,2.667283368,7/29/2019 16:24,16:24:31,NaN,NaN,37.9640007,14.23320865
PFJ03H,2.46226089,2.387426716,13.43703604,13.08207661,0.1650615,1000,0.08620464,13.72145,798.5991456,2.86E+12,2.32317411,N2,18.24960048,2.672836648,7/29/2019 16:00,16:00:41,NaN,NaN,42.39699936,15.86217376
PFJ03I,1.675060197,1.599872499,9.297296808,8.917186629,0.02931301,1000,0.008239373,38.36513,196.9944246,7.38E+12,2.449863517,N2,17.94144909,2.689709976,8/21/19 13:31,13:31:24,NaN,NaN,43.95410156,16.34157659
PFJ03J,1.991900892,1.93788232,14.57134247,14.23242177,0.4574486,1000,0.252096,12.21871,313.8617771,3.84E+11,2.289150164,N2,13.61597029,2.669015742,7/29/2019 15:36,15:36:16,NaN,NaN,31.16900063,11.67808797
PFJ03K,2.395706226,2.322116929,13.33010674,12.97376647,0.07294931,1000,0.02980923,21.70808,950.2815601,9.85E+12,2.354284923,N2,17.89855656,2.705258895,7/30/2019 15:04,15:04:02,NaN,NaN,42.13830185,15.57643963
PFJ03L,2.368395522,2.288278618,12.34778743,11.98013302,0.1193023,1000,0.05837311,15.65683,695.5796645,3.68E+12,2.37290844,N2,19.10061111,2.695878239,7/29/2019 14:33,14:33:55,NaN,NaN,45.32400131,16.81233249
PFJ04A,1.639259166,1.577579649,11.23387502,10.85707595,0.07983905,1000,0.03340995,20.84518,591.4454573,5.47E+12,2.381423235,N2,14.53042841,2.671466368,7/30/2019 17:27,17:27:01,NaN,NaN,34.60309982,12.95284876
PFJ04B1,1.537098139,1.476419723,10.71934656,10.33994426,0.05599263,1000,0.02140692,24.23449,79.45778835,1.15E+12,2.393261806,N2,14.27879769,2.66926201,7/30/2019 17:41,17:41:28,NaN,NaN,34.17290115,12.80237797
PFJ04B2,2.482828465,2.409124606,13.67308626,13.32126456,0.6803484,1000,0.44587,7.888341,296.3883191,2.05E+11,2.298642499,N2,18.08480416,2.651910514,7/30/2019 17:57,17:57:43,NaN,NaN,41.57049942,15.67567955
PFJ04C,2.541845698,2.45168974,11.85628398,11.48405055,0.4567215,1000,0.2836788,9.14993,403.1664958,4.39E+11,2.362055725,N2,21.34864985,2.668508602,7/30/2019 18:15,18:15:08,NaN,NaN,50.42670059,18.89696011
PFJ04D,2.100640801,2.023748832,11.52563086,11.15078954,0.1810512,1000,0.09734603,12.89809,758.390188,2.41E+12,2.365280091,N2,18.1489286,2.66212843,7/31/2019 11:02,11:02:12,NaN,NaN,42.9272995,16.12517977
PFJ04F,0.633841541,0.588717468,3.445195409,3.207794793,0.02677254,1000,0.007233446,40.51822,202.1918806,8.63E+12,2.587050369,N2,18.35271598,2.67278792,7/31/2019 11:24,11:24:46,NaN,NaN,47.47940063,17.76399851
PFJ04G,1.157885379,1.091267822,6.31888442,5.977064511,0.0792167,1000,0.03034219,24.16167,151.7830911,1.54E+12,1.771800328,N2,18.25758815,1.884434174,7/31/2019 11:44,11:44:40,NaN,NaN,32.34880066,17.16632033
PFJ04H,1.496719746,1.450257846,13.2238676,12.86618178,0.1728507,1000,0.09311648,12.84427,586.399291,1.94E+12,2.324221748,N2,11.27185882,2.66741639,7/31/2019 12:03,12:03:26,NaN,NaN,26.19829941,9.821600974
PFJ04I,1.86443254,1.800823557,12.25983426,11.8913023,0.193335,1000,0.1036936,12.96726,537.3278065,1.60E+12,2.367855509,N2,15.14403984,2.687425386,7/31/2019 12:21,12:21:14,NaN,NaN,35.85889816,13.34321628
PFJ04J (45),2.091200645,2.034928602,14.64811812,14.31035896,1.602325,1000,1.15472,5.814459,95.69439698,2.56E+10,2.286924857,N2,14.21996895,2.668846349,7/31/2019 12:37,12:37:19,NaN,NaN,32.52000046,12.18504035
PFJ04K,1.0853032,1.048477617,12.31624371,11.94827177,0.2284047,1000,0.1274972,11.87173,319.4328682,7.74E+11,2.339164946,N2,8.775140348,2.656580391,7/31/2019 13:24,13:24:29,NaN,NaN,20.5265007,7.726662731
PFJ04L,1.659912072,1.609862098,13.51675444,13.16284121,0.5138828,1000,0.3248885,8.725808,538.5972409,5.12E+11,2.319785599,N2,12.23035417,2.671420428,7/31/2019 13:08,13:08:53,NaN,NaN,28.37179947,10.62049207
PFJ05A,2.231619168,2.158638933,12.6947554,12.33079294,1.100779,1000,0.7629253,6.642602,334.9674742,1.36E+11,2.334902579,N2,17.50608371,2.663309796,8/21/19 15:59,15:59:30,NaN,NaN,40.875,15.34744477
PFJ05B,2.515142577,2.451118121,15.19457792,14.86528788,0.6176708,1000,0.4068847,7.770734,757.2830844,5.75E+11,2.251275949,N2,16.48887086,2.644369016,7/31/19 13:47,13:47:00,NaN,NaN,37.12099838,14.03775274
PFJ05C,2.517707987,2.454022844,15.25678162,14.92847479,1.144448,1000,0.8195551,5.946395,375.3062447,1.41E+11,2.26720906,N2,16.43853695,2.665062198,7/31/19 14:07,14:07:56,NaN,NaN,37.26959991,13.98451411
PFJ05D1,2.266395381,2.200654198,13.90397798,13.55533646,0.3804116,1000,0.2304094,9.765374,437.8596495,5.87E+11,2.314747905,N2,16.23459664,2.677722152,8/21/19 12:50,12:50:00,NaN,NaN,37.57899857,14.03394245
PFJ05D2,2.125862726,2.058776684,13.05758649,12.69784974,0.3443646,1000,0.20447,10.26272,376.522351,5.69E+11,2.347784371,N2,16.21358519,2.689262938,8/21/19 15:20,15:20:12,NaN,NaN,38.06600189,14.1548085
PFJ05E1,2.23163351,2.160913813,13.01509374,12.65484402,1.029597,1000,0.7070879,6.841641,419.1382303,1.83E+11,2.351476312,N2,17.07578385,2.69216568,7/31/19 14:23,14:23:30,NaN,NaN,40.15330124,14.91487004
PFJ05E2,2.389959044,2.32447226,14.46925186,14.12879913,1.422798,1000,0.9851173,6.664393,343.4249304,1.08E+11,2.285263948,N2,16.45201576,2.661269348,7/31/19 14:39,14:39:26,NaN,NaN,37.59719849,14.1275435
PFJ05F1,2.488635371,2.402131385,12.06659297,11.69622041,0.503801,1000,0.3137637,9.085054,302.8413284,2.98E+11,2.358933308,N2,20.53767202,2.671384304,8/21/19 16:55,16:55:19,NaN,NaN,48.4469986,18.13554063
PFJ05F2,1.824519777,1.753522757,10.87431895,10.49558165,0.1229186,1000,0.06253412,14.48437,1149.093638,5.67E+12,2.395511345,N2,16.70724707,2.676416862,7/31/19 14:55,14:55:17,NaN,NaN,40.0223999,14.95372431
PFJ05G,1.807051716,1.739033378,11.22990475,10.85308137,13.84331,1000,11.95559,2.368419,542.8890592,1.40E+10,2.368909473,N2,16.02340681,2.657309428,7/31/19 15:10,15:10:13,NaN,NaN,37.95800018,14.28437343
PFJ05H1,2.559439092,2.509128831,17.75307168,17.46505133,8.007445,1000,6.603494,3.189109,60.89334399,2.85E+09,2.21362512,N2,14.36657003,2.682045795,7/31/19 15:25,15:25:36,NaN,NaN,31.80220032,11.8574412
PFJ05H2,3.053883531,2.986045144,16.53280665,16.22513792,2.769416,1000,2.097431,4.805767,102.6028672,1.51E+10,2.199326129,N2,18.40381979,2.625281707,8/21/19 17:18,17:18:05,NaN,NaN,40.47600174,15.41777465
PFJ05I,1.397391392,1.32864099,8.235728356,7.86239559,0.03853616,1000,0.01185966,33.74019,183.1547902,4.77E+12,2.454635584,N2,16.89867897,2.664097466,7/31/19 15:41,15:41:55,NaN,NaN,41.48009872,15.57003798
PFJ05J,2.158663872,2.087697163,12.6409748,12.27641686,0.4669453,1000,0.2885514,9.273588,184.0182375,1.97E+11,2.350733958,N2,17.00575329,2.679705814,7/31/19 15:58,15:58:33,NaN,NaN,39.97600174,14.91805613
PFJ05K,1.865827918,1.796388333,11.35020487,10.9741464,0.3004305,1000,0.1731476,11.02669,486.6897164,8.68E+11,2.390533426,N2,16.36927619,2.685212586,7/31/19 16:13,16:13:50,NaN,NaN,39.13130188,14.57288785
PFJ06A1,0.967625706,0.910876461,6.073569021,5.73780496,0.0249131,1000,0.006575226,41.83402,206.0870169,9.68E+12,2.496945087,N2,15.87499867,2.64893586,1/8/19 12:41,12:41:07,NaN,NaN,39.63899994,14.96412221
PFJ06A2,1.269607962,1.196339501,6.280050437,5.939156377,0.02743244,1000,0.007501324,39.8552,200.7267169,8.26E+12,2.490773947,N2,20.14325647,2.648045511,1/8/19 14:14,14:14:39,NaN,NaN,50.17229843,18.94691697
PFJ06B,1.165911147,1.104907581,7.498852008,7.13448502,0.0115784,1000,0.002275727,61.31668,254.8054537,3.46E+13,2.497601496,N2,15.48685824,2.689482201,1/8/19 12:25,12:25:21,NaN,NaN,38.68000031,14.38195066
PFJ06D,0.916032084,0.865579585,6.86807929,6.514447096,0.02501588,1000,0.006586211,41.97331,206.0182239,9.66E+12,2.398947534,N2,13.28707675,2.56611579,1/8/19 10:52,10:52:47,NaN,NaN,31.875,12.42149717
PFJ06E,1.629757212,1.5547946,9.01873931,8.63975179,0.6105054,1000,0.3820671,8.968516,30883.82681,2.50E+13,2.446623019,N2,17.99582485,2.677995153,8/21/19 13:11,13:11:02,NaN,NaN,44.02899933,16.44103025
PFJ06F,1.452327749,1.387388551,9.341012719,8.960766558,15.0942,1000,13.08929,2.297584,947.8861126,2.24E+10,2.498236366,N2,15.48292261,2.744131592,1/8/19 11:42,11:42:13,NaN,NaN,38.68000031,14.09553406
PFJ06G,1.301212497,1.232110896,7.317863248,6.956277546,0.02401221,1000,0.006259296,42.54371,208.1266387,1.03E+13,2.262901579,N2,17.71221588,2.432084099,1/8/19 13:56,13:56:36,NaN,NaN,40.08100128,16.48010498
PFJ06H1,0.917701648,0.86143595,5.495999074,5.176473997,0.01570845,1000,0.003489445,52.52558,233.9276163,2.07E+13,2.46794652,N2,16.64136535,2.602673223,1/8/19 13:20,13:20:52,NaN,NaN,41.06999969,15.7799294
