Sample,Lithology,Depositional System,GrainSize / Crystallinity,Sorting,Compaction,Pore Type 1st,Pore Type 2nd,Cement 1st,Cement 2nd,Main Diagenetic Environment,Pore Size,Pore Size Mean (mm),Pore Size Max (mm),Por Size Max Vug Size in plug (mm),OBS,OBS2,Microfacies
PFJ04F,BioFLT,Lagoonal,,,1,Micro Intraparticle,Wp,Blocky,Granular,Burial,Microporo - limite visualização do poro,0.01,0.01,0,"Brechas, exposição? Raizes? Solo?",,MF 4
PFJ08F,BioFLT,Lagoonal,,,3,Micro Intraparticle,Micro Intraparticle,Granular,Blocky,Meteoric Phreatic,Microporo - limite visualização do poro,0.01,0.01,0,,,MF 4
PFJ09A,BioPCK,Bc Sand-Shoals,,,2,Micro Intraparticle,Micro Intraparticle,Blocky,Syntaxial Overgrowth,Burial,Microporo - limite visualização do poro,0.01,0.01,0,,,MF 1
PFJ09G,BioPCK,Bc Sand-Shoals,,,2,Micro Intraparticle,,Granular,Syntaxial Overgrowth,Meteoric Phreatic,Microporo - limite visualização do poro,0.01,0.01,0,,,MF 1
PFJ02H,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Poorly Sorted,3,Partial Moldic,Micro Intraparticle,Granular,Syntaxial Overgrowth,Meteoric Phreatic,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,,"gastropode, alga verde, miliolidio, Gastropode com lama jogando e retrabalhando",MF 1
PFJ03A,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,3,Partial Moldic,Micro Intraparticle,Fibrous to Bladed Fringe,Syntaxial Overgrowth,Marine,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,,,MF 1
PFJ03C,BioPCK,Bc Sand-Shoals,,,2,Partial Moldic,Interparticle,Fibrous to Bladed Fringe,Syntaxial Overgrowth,Marine,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,,,MF 1
PFJ07I,BioFLT,Lagoonal,,,2,Micro Intraparticle,Partial Moldic,Drusy,Syntaxial Overgrowth,Burial,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,,,MF 4
PFJ08C,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,3,Partial Moldic,Intercrystalline,Granular,Syntaxial Overgrowth,Meteoric Phreatic,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,Perfil de exposição subaérea,,MF 1
PFJ08J,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,2,Micro Intraparticle,Partial Moldic,Blocky,Granular,Burial,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,,,MF 1
PFJ08N,BioPCK,Bc Sand-Shoals,,,2,Partial Moldic,Interparticle,Fibrous to Bladed Fringe,Syntaxial Overgrowth,Marine,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,franja descolada,,MF 1
PFJ09B,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Poorly Sorted,2,Micro Intraparticle,Wp,Blocky,Syntaxial Overgrowth,Burial,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,,,MF 1
PFJ09C,BioGST,Bc Sand-Shoals,Coarse Sand ,Moderately Sorted,2,Micro Intraparticle,Partial Moldic,Syntaxial Overgrowth,Blocky,Marine,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,,,MF 1
PFJ09E,PelGST,Pel Sand-Shoals,,,2,Partial Moldic,Micro Intraparticle,Syntaxial Overgrowth,Fibrous to Bladed Fringe,Marine,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,,,MF 2
PFJ09J2,PelPCK,Pel Sand-Shoals,,,2,Micro Intraparticle,Wp,Granular,Syntaxial Overgrowth,Meteoric Phreatic,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,,,MF 2
PFJ09M1,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,2,Partial Moldic,Micro Intraparticle,Syntaxial Overgrowth,Granular,Marine,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,,,MF 1
PFJ09M2,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,2,Partial Moldic,Micro Intraparticle,Syntaxial Overgrowth,Granular,Marine,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,0,,,MF 1
PFJ05F2,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,2,Moldic,Partial Moldic,Blocky,Syntaxial Overgrowth,Burial,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,0,,,MF 1
PFJ06B,PelGST,Pel Sand-Shoals,Fine Sand ,Well Sorted,1,Moldic,Vug,Syntaxial Overgrowth,Fibrous to Bladed Fringe,Marine,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,0,,,MF 2
PFJ06L,PelGST,Pel Sand-Shoals,,,2,Moldic,Vug,Syntaxial Overgrowth,Fibrous to Bladed Fringe,Marine,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,0,,,MF 2
PFJ09K,PelGST,Pel Sand-Shoals,Fine Sand ,Well Sorted,2,Micro Intraparticle,Partial Moldic,Drusy,Syntaxial Overgrowth,Marine,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,0,veio de calcita,,MF 2
PFJ12A,DOLMud,Upper Supratidal,Fine-Medium Crystalline,,2,Intercrystalline,Vug,Dolomitization,,Eogenetic,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,0,,,MF 5a
PFJ12E,DOLMud,Upper Supratidal,Fine-Medium Crystalline,,2,Fracture,Fr-Wc,Dolomitization,Drusy,Pedogenesis,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,0,,,MF 5b
PFJ03J,PelPCK,Pel Sand-Shoals,,,2,Moldic,Partial Moldic,Granular,Syntaxial Overgrowth,Marine,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,0,Muita Microporosidade,,MF 2
PFJ04G,BioPCK,Bc Sand-Shoals,,,2,Micro Intraparticle,Moldic,Blocky,Syntaxial Overgrowth,Burial,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,0,,,MF 1
PFJ04K,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Poorly Sorted,2,Moldic,Partial Moldic,Granular,Blocky,Meteoric Phreatic,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,0,,,MF 1
PFJ05B,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Moderately Sorted,2,Moldic,Mo,Granular,Syntaxial Overgrowth,Meteoric Phreatic,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,0,,,MF 1
PFJ05F1,BioGST,Bc Sand-Shoals,Coarse Sand ,Moderately Sorted,1,Moldic,Partial Moldic,Blocky,Granular,Burial,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,0,cto suturado,,MF 1
PFJ06K1,PelGST,Pel Sand-Shoals,Fine Sand ,Well Sorted,2,Vug,Interparticle,Granular,Fibrous to Bladed Fringe,Meteoric Phreatic,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,0,,,MF 2
PFJ06K2,PelGST,Pel Sand-Shoals,Fine Sand ,Well Sorted,2,Vug,Fr-Vug,Granular,Syntaxial Overgrowth,Meteoric Phreatic,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,0,,,MF 2
PFJ07K2,PelGST,Pel Sand-Shoals,Medium Sand ,Moderately Sorted,3,Moldic,Partial Moldic,Syntaxial Overgrowth,Blocky,Marine,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,0,,,MF 2
PFJ08M,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,2,Moldic,Mo,Blocky,Granular,Burial,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,0,,,MF 1
PFJ12F,DOLMud,Upper Supratidal,Fine-Medium Crystalline,,2,Intracrystalline,Vug,Dolomitization,Drusy,Eogenetic,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,0,,,MF 5a
PFJ12G,DOLMud,Upper Supratidal,Fine-Medium Crystalline,,2,Fracture,Intracrystalline,Dolomitization,Drusy,Eogenetic,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,0,,,MF 5a
PFJ06M,PelGST,Pel Sand-Shoals,Fine Sand ,Moderately Sorted,1,Moldic,Partial Moldic,Syntaxial Overgrowth,Fibrous to Bladed Fringe,Marine,"Mesoporo grande 0,5 a 1 mm",0.75,1,0,,,MF 2
PFJ07H,BioFLT,Lagoonal,,,2,Micro Intraparticle,Wp,Drusy,Syntaxial Overgrowth,Burial,"Mesoporo grande 0,5 a 1 mm",0.75,1,0,,,MF 4
PFJ09D,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,2,Moldic,Mo,Syntaxial Overgrowth,Fibrous to Bladed Fringe,Marine,"Mesoporo grande 0,5 a 1 mm",0.75,1,0,,,MF 1
PFJ09J1,PelPCK,Pel Sand-Shoals,,,2,Vug,Micro Intraparticle,Drusy,Syntaxial Overgrowth,Burial,"Mesoporo grande 0,5 a 1 mm",0.75,1,0,veio e vug com calcita,,MF 2
PFJ09L,PelGST,Pel Sand-Shoals,Fine Sand ,Well Sorted,2,Vug,Micro Intraparticle,Syntaxial Overgrowth,Fibrous to Bladed Fringe,Marine,"Mesoporo grande 0,5 a 1 mm",0.75,1,0,vug-cimento telo?,,MF 2
PFJ12H,DOLMud,Upper Supratidal,Fine-Medium Crystalline,,2,Moldic,Mo-Wc,Dolomitization,Drusy,Eogenetic,"Mesoporo grande 0,5 a 1 mm",0.75,1,0,,,MF 5a
PFJ05G,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Moderately Sorted,2,Fracture,Fr-Vug,Blocky,Granular,Burial,Mesoporo muito grande 1 a 4 mm,2.5,4,0,cto suturado,,MF 1
PFJ07K1,,,,,3,,,,,,,,,0,,,MF 1
PFJ11C1,DOLBind/Mud,Upper intertidal,Medium Crystalline,,2,Vug,Intercrystalline,Dolomitization,,Eogenetic,,,,0,,,MF 7
PFJ02D,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,2,Partial Moldic,Interparticle,Fibrous to Bladed Fringe,Granular,Marine,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,1,DOLOMITOS NO PORO INTERPARTICULA,"Alga verde, miliolidio",MF 1
PFJ04J (45),BioGST,Bc Sand-Shoals,Very Coarse Sand ,Moderately Sorted,3,Fracture,Partial Moldic,Blocky,Syntaxial Overgrowth,Burial,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,1,,,MF 1
PFJ07J1,PelPCK,Pel Sand-Shoals,,,2,Micro Intraparticle,Partial Moldic,Syntaxial Overgrowth,Granular,Marine,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,1,,,MF 2
PFJ03G,BioGST,Bc Sand-Shoals,Coarse Sand ,Moderately Sorted,2,Vug,Partial Moldic,Fibrous to Bladed Fringe,Blocky,Marine,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,1,,,MF 1
PFJ04H,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Moderately Sorted,2,Micro Intraparticle,Moldic,Blocky,Fibrous to Bladed Fringe,Burial,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,1,cto concavo-convexo,,MF 1
PFJ05K,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,2,Partial Moldic,Micro Intraparticle,Fibrous to Bladed Fringe,Granular,Marine,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,1,conchas quebradas,,MF 1
PFJ01I,BioGST,Bc Sand-Shoals,Coarse Sand ,Well Sorted,2,Partial Moldic,Micro Intraparticle,Blocky,Syntaxial Overgrowth,Burial,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,1,,"gastropode, micrita,foraminiferos",MF 1
PFJ02I,BioGST,Bc Sand-Shoals,Coarse Sand ,Well Sorted,2,Partial Moldic,Micro Intraparticle,Granular,Fibrous to Bladed Fringe,Meteoric Phreatic,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,1,,,MF 1
PFJ08I1,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Poorly Sorted,2,Partial Moldic,Micro Intraparticle,Blocky,Granular,Burial,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,1,,,MF 1
PFJ03B,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,2,Partial Moldic,Micro Intraparticle,Fibrous to Bladed Fringe,Granular,Marine,"Mesoporo grande 0,5 a 1 mm",0.75,1,1,,gastropode,MF 1
PFJ05J,BioGST,Bc Sand-Shoals,Coarse Sand ,Very Well Sorted,2,Partial Moldic,Vug,Fibrous to Bladed Fringe,Granular,Marine,"Mesoporo grande 0,5 a 1 mm",0.75,1,1,,,MF 1
PFJ07J2,PelPCK,Pel Sand-Shoals,,,2,Vug,Moldic,Granular,Fibrous to Bladed Fringe,,"Mesoporo grande 0,5 a 1 mm",0.75,1,1,,,MF 2
PFJ08H,BioRUD,Bc Sand-Shoals,Granule Gravel ,Very Well Sorted,2,Micro Intraparticle,Partial Moldic,Blocky,Granular,Burial,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,2,,,MF 1
PFJ01L,BioGST,Bc Sand-Shoals,Coarse Sand ,Moderately Sorted,2,Partial Moldic,Moldic,Blocky,Syntaxial Overgrowth,Burial,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,2,,concha recristalização,MF 1
PFJ01M,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Poorly Sorted,3,Partial Moldic,Micro Intraparticle,Blocky,Granular,Burial,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,2,"Bivalve com franja, e cimento crescendo para o centro?",alga verde,MF 1
PFJ04D,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Poorly Sorted,3,Partial Moldic,Intercrystalline,Syntaxial Overgrowth,Blocky,Marine,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,2,estilólito,,MF 1
PFJ04I,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Moderately Sorted,2,Micro Intraparticle,Moldic,Blocky,Syntaxial Overgrowth,Burial,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,2,,,MF 1
PFJ01H,BioGST,Bc Sand-Shoals,Coarse Sand ,Moderately Sorted,2,Partial Moldic,Micro Intraparticle,Blocky,Granular,Burial,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,2,,,MF 1
PFJ02E,BioRUD,Bc Sand-Shoals,Granule Gravel ,Poorly Sorted,2,Micro Intraparticle,Partial Moldic,Blocky,Fibrous to Bladed Fringe,Burial,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,2,,,MF 1
PFJ08K,BioGST,Bc Sand-Shoals,Coarse Sand ,Very Well Sorted,2,Moldic,Micro Intraparticle,Blocky,Fibrous to Bladed Fringe,Burial,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,2,,,MF 1
PFJ02B,BioFLT,Lagoonal,,,1,Moldic,Micro Intraparticle,Blocky,Granular,Burial,Mesoporo muito grande 1 a 4 mm,2.5,4,2,,,MF 4
PFJ08D,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,2,Partial Moldic,Moldic,Blocky,Syntaxial Overgrowth,Burial,Mesoporo muito grande 1 a 4 mm,2.5,4,2,,,MF 1
PFJ02G,BioWCK,Lagoonal,,,2,Micro Intraparticle,Wp,Syntaxial Overgrowth,Granular,Marine,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,3,,,MF 4
PFJ08B,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Poorly Sorted,2,Micro Intraparticle,Partial Moldic,Blocky,Granular,Burial,"Mesoporo muito pequeno 0,125 mm ao limite visualização do poro",0.0625,0.125,3,,,MF 1
PFJ01N,PelGST,Pel Sand-Shoals,Fine Sand ,Well Sorted,1,Partial Moldic,Moldic,Drusy,Granular,Burial,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,3,VUG CIMENTADO,"oolitico, miliolidio,gastropode",MF 2
PFJ05E1,BioGST,Bc Sand-Shoals,Coarse Sand ,Very Well Sorted,2,Partial Moldic,Moldic,Syntaxial Overgrowth,Granular,Marine,"Mesoporo pequeno 0,125 a 0,25 mm",0.1875,0.25,3,,,MF 1
PFJ04L,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Poorly Sorted,3,Partial Moldic,Micro Intraparticle,Blocky,Fibrous to Bladed Fringe,Burial,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,3,,,MF 1
PFJ05E2,BioGST,Bc Sand-Shoals,Coarse Sand ,Poorly Sorted,2,Partial Moldic,Moldic,Syntaxial Overgrowth,Granular,Marine,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,3,,,MF 1
PFJ05I,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Poorly Sorted,3,Micro Intraparticle,Partial Moldic,Fibrous to Bladed Fringe,Syntaxial Overgrowth,Marine,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,3,,,MF 1
PFJ08A,BioRUD,Bc Sand-Shoals,Granule Gravel ,Moderately Sorted,2,Micro Intraparticle,Partial Moldic,Blocky,Granular,Burial,"Mesoporo médio 0,25 a 0,5 mm",0.375,0.5,3,,,MF 1
PFJ02J,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Moderately Sorted,2,Partial Moldic,Micro Intraparticle,Granular,Syntaxial Overgrowth,Meteoric Phreatic,"Mesoporo grande 0,5 a 1 mm",0.75,1,3,,,MF 1
PFJ03D,BioGST,Bc Sand-Shoals,Very Coarse Sand ,Poorly Sorted,1,Moldic,Partial Moldic,Blocky,Granular,Burial,"Mesoporo grande 0,5 a 1 mm",0.75,1,3,"Dente de cão ao redor de poro móldico. Muita microporosidade, Franja descolada, cto concavo convexo",,MF 1
